Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Armored Core VI: Fires of Rubicon,PlayStation 5,8/25/2023,NA,Bandai Namco Entertainment,FromSoftware,Armored Core,Vehicular Combat,,,,1,Complete,3/3/2023, $ 65.04 ,Physical,0,,,,87%,90%,,5,,22.50,1,2023,94%,0.885,1
Fire Emblem Engage,Nintendo Switch,1/20/2023,NA,Nintendo,Intelligent Systems,Fire Emblem,Strategy RPG,,,,1,Complete,9/22/2023, $ 65.16 ,Physical,0,,,,82%,79%,,4,,39.50,1,2023,80%,0.807,0.8
The Forest,PC,4/30/2018,NA,Endnight Games,Endnight Games,The Forest,Survival,,,,1,,,,Digital,0,,,,83%,71%,Steam,3,,15.00,1,2018,68%,0.768,0.6
Monster of the Deep: Final Fantasy XV,PlayStation 4,11/21/2017,NA,Square Enix,Square Enix Business Division 2,Final Fantasy,Simulation,1,,,1,,12/15/2022, $ 14.99 ,Digital,0,,,,62%,60%,,2,,2.50,1,2017,51%,0.61,0.4
Divinity: Original Sin 2 - Definitive Edition,PC,9/14/2017,NA,Larian Studios,Larian Studios,Divinity,Computer RPG,,,,1,,9/14/2022, $ 15.74 ,Digital,0,,,,93%,87%,Steam,5,,59.00,1,2017,95%,0.898,1
Picross e7,Nintendo 3DS,12/5/2016,NA,Jupiter,Jupiter,Picross,Puzzle,,,,1,,3/5/2022, $ 5.99 ,Digital,0,,,,,79%,,3,,9.50,1,2016,70%,79%,0.6
God of War: Ascension,PlayStation 3,3/12/2013,NA,Sony Computer Entertainment,SCE Santa Monica Studio,God of War,Hack-and-Slash,,,,1,,8/25/2015, $ -   ,Digital,0,,,,79%,75%,PlayStation Plus,4,,8.50,1,2013,78%,0.769,0.8
Mass Effect Legendary Edition,PlayStation 4,5/14/2021,NA,Electronic Arts,BioWare,Mass Effect,Action RPG,,,,1,Complete,2/4/2021, $ 50.94 ,Physical,0,,,,89%,84%,,2,,67.50,0,2021,63%,0.865,0.4
Command & Conquer: Remastered Collection,PC,6/5/2020,NA,Electronic Arts,Petroglyph,Command & Conquer,Real-Time Strategy,,,,1,,6/5/2020, $ 17.59 ,Digital,0,,9.00,60%,83%,79%,Origin,3,,28.00,0,2020,71%,0.811,0.6
Borderlands Legendary Collection,Nintendo Switch,5/29/2020,NA,2K Games,Gearbox Software,Borderlands,First-Person Shooter,,,,1,Complete,5/29/2020, $ 54.18 ,Physical,0,,11.14,70%,82%,79%,,2,,71.50,0,2020,60%,0.806,0.4
The Walking Dead: Saints & Sinners,PC,1/23/2020,NA,Skydance Interactive,Skydance Interactive,The Walking Dead,First-Person Shooter,1,,,1,,7/14/2020, $ 31.99 ,Digital,0,,,,81%,83%,Steam,4,,12.00,0,2020,81%,0.822,0.8
Fire Emblem Fates: Conquest,Nintendo 3DS,2/19/2016,NA,Nintendo,Intelligent Systems,Fire Emblem,Strategy RPG,,,,1,Complete,2/19/2016, $ 42.96 ,Physical,0,,,,85%,82%,,4,,26.50,0,2016,82%,0.837,0.8
Helldivers,PC,12/7/2015,NA,Sony Computer Entertainment,Arrowhead Game Studios,,Shooter,,,,1,,12/22/2016, $ 7.99 ,Digital,0,,,,85%,68%,Steam,3,,9.50,0,2015,68%,0.764,0.6
Alien: Isolation,PC,10/7/2014,NA,Sega,Creative Assembly,Alien,Survival Horror,,,,1,,11/21/2018, $ 9.99 ,Digital,0,,,,83%,78%,Steam,4,,19.00,0,2014,80%,0.807,0.8
Mercenary Kings,PC,3/25/2014,NA,Tribute Games,Tribute Games,,Shooter,,,,1,,12/29/2014, $ 6.79 ,Digital,0,,,,76%,75%,Steam,3,,19.00,0,2014,68%,0.755,0.6
Shin Megami Tensei IV,Nintendo 3DS,7/16/2013,NA,Atlus USA,Atlus,Megami Tensei,Turn-Based RPG,,,,1,Complete,6/24/2014, $ 21.49 ,Physical,0,,,,84%,85%,,4,,44.00,0,2013,82%,0.843,0.8
Kokuga,Nintendo 3DS,6/27/2013,NA,G.rev,G.rev,,Twin-Stick Shooter,,,,1,,3/29/2022, $ 14.99 ,Digital,0,,,,77%,78%,,3,,,0,2013,69%,0.775,0.6
